date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:30:38	6738/6738	---M--	200	added ('OK')	text/html	etag:%221a52-556ac0b1ed640%22	http://norvig.com/ipython/README.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/ipython/README.html	(from http://norvig.com/index.html)
20:31:20	22295/22295	---M--	200	added ('OK')	text/html	etag:%225717-4cdef4d52ea40%22	http://norvig.com/cacm-hybrid.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/cacm-hybrid.html	(from http://norvig.com/index.html)
20:31:29	2838/2838	---M--	200	added ('OK')	text/html	etag:%22b16-4b94911123640%22	http://norvig.com/Gettysburg/index.htm	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/Gettysburg/index.html	(from http://norvig.com/index.html)
20:31:35	178291/178291	---M--	200	added ('OK')	text/html	etag:%222b873-4e8341f4e2100%22	http://norvig.com/mayzner.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/mayzner.html	(from http://norvig.com/index.html)
20:32:11	25067/25067	---M--	200	added ('OK')	text/html	etag:%2261eb-52e880dc50940%22	http://norvig.com/21-days.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/21-days.html	(from http://norvig.com/index.html)
20:32:12	3298/3298	---M--	200	added ('OK')	text/html	etag:%22ce2-3bf3b2bec15c0%22	http://norvig.com/paip.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/paip.html	(from http://norvig.com/index.html)
20:32:22	54165/54165	---M--	200	added ('OK')	text/html	etag:%22d395-4d1507ddbfa80%22	http://norvig.com/java-iaq.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/java-iaq.html	(from http://norvig.com/index.html)
20:32:30	33827/33827	---M--	200	added ('OK')	text/html	etag:%228423-53cbde0b50b00%22	http://norvig.com/python-iaq.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/python-iaq.html	(from http://norvig.com/index.html)
20:32:37	242/242	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Aug%202017%2012:32:37%20GMT	http://norvig.com/design-patterns	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/design-patterns	(from http://norvig.com/index.html)
20:32:39	746/746	---M--	200	added ('OK')	text/html	etag:%222ea-4d836557e0b40%22	http://norvig.com/design-patterns/	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/design-patterns/index.html	(from http://norvig.com/index.html)
